Symbol,Date,Prev_Close,Open_Price,High_Price,Low_Price,Close_Price
SUNTV,24-May-19,547.85,553,561.3,512,530.55
SUNTV,27-May-19,530.55,531.7,541.6,528.25,537.85
SUNTV,28-May-19,537.85,539.7,543.8,532.55,537.2
SUNTV,29-May-19,537.2,535.2,542,525.5,539.35
SUNTV,30-May-19,539.35,540,547.1,535.1,545.35
SUNTV,31-May-19,545.35,545.2,552.65,539,549.15
SUNTV,3-Jun-19,549.15,547.55,552.15,541.2,542.9
SUNTV,4-Jun-19,542.9,542.9,544.95,530.5,536.9
SUNTV,6-Jun-19,536.9,538.25,543.6,530.65,541.05
SUNTV,7-Jun-19,541.05,542,545.55,532.2,540.15
SUNTV,10-Jun-19,540.15,550,559.7,520,528
SUNTV,11-Jun-19,528,531.3,532,511,525.55
SUNTV,12-Jun-19,525.55,522.4,531,519.5,523.3
SUNTV,13-Jun-19,523.3,525,533.95,516.85,529.45
SUNTV,14-Jun-19,529.45,526.3,529.85,521.8,524.05
SUNTV,17-Jun-19,524.05,522.7,524.95,509.05,517.95
SUNTV,18-Jun-19,517.95,519.7,528.65,514.2,524.4
SUNTV,19-Jun-19,524.4,524.55,531.75,513.5,519.8
SUNTV,20-Jun-19,519.8,523,544.75,517.5,542.8
SUNTV,21-Jun-19,542.8,544.8,545.3,520.3,522.7
SUNTV,24-Jun-19,522.7,525,525.85,516.55,518.7
SUNTV,25-Jun-19,518.7,518,521.8,510.75,520.05
SUNTV,26-Jun-19,520.05,522.85,525.45,518.25,523.25
SUNTV,27-Jun-19,523.25,522.05,525.5,502.1,508.1
SUNTV,28-Jun-19,508.1,509.9,514.85,500.5,504.9
SUNTV,1-Jul-19,504.9,507.8,513.45,505.5,511.35
SUNTV,2-Jul-19,511.35,513,515.7,507.05,509.1
SUNTV,3-Jul-19,509.1,509.15,515.4,507,513.55
SUNTV,4-Jul-19,513.55,513.55,518,509.6,510.9
SUNTV,5-Jul-19,510.9,511,512.8,476.5,482.25
SUNTV,8-Jul-19,482.25,491.8,491.8,468,471.85
SUNTV,9-Jul-19,471.85,470,474.9,464,469.1
SUNTV,10-Jul-19,469.1,470,478.75,443.15,458.85
